k,points,radius,akurasi
3.0,44.0,20.0,70.0
5.0,44.0,20.0,60.0
7.0,44.0,20.0,55.0
9.0,44.0,20.0,45.0
1.0,48.0,4.0,57.5
3.0,48.0,4.0,40.0
5.0,48.0,4.0,37.5
7.0,48.0,4.0,40.0
9.0,48.0,4.0,27.5
1.0,48.0,5.0,62.5
3.0,48.0,5.0,45.0
5.0,48.0,5.0,47.5
7.0,48.0,5.0,42.5
9.0,48.0,5.0,27.5
1.0,48.0,6.0,67.5
3.0,48.0,6.0,47.5
5.0,48.0,6.0,35.0
7.0,48.0,6.0,30.0
9.0,48.0,6.0,30.0
1.0,48.0,7.0,65.0
3.0,48.0,7.0,62.5
5.0,48.0,7.0,57.5
7.0,48.0,7.0,47.5
9.0,48.0,7.0,42.5
1.0,48.0,8.0,70.0
