k,points,radius,akurasi
0.005,28.0,13.0,17.647058823529413
0.01,28.0,13.0,41.1764705882353
0.015,28.0,13.0,64.70588235294117
0.02,28.0,13.0,64.70588235294117
0.005,28.0,14.0,17.647058823529413
0.01,28.0,14.0,47.05882352941177
0.015,28.0,14.0,64.70588235294117
0.02,28.0,14.0,70.58823529411765
0.005,28.0,15.0,11.764705882352942
0.01,28.0,15.0,47.05882352941177
0.015,28.0,15.0,64.70588235294117
0.02,28.0,15.0,64.70588235294117
0.005,28.0,16.0,11.764705882352942
0.01,28.0,16.0,52.94117647058823
0.015,28.0,16.0,64.70588235294117
0.02,28.0,16.0,70.58823529411765
0.005,28.0,17.0,11.764705882352942
0.01,28.0,17.0,52.94117647058823
0.015,28.0,17.0,64.70588235294117
0.02,28.0,17.0,70.58823529411765
0.005,28.0,18.0,11.764705882352942
0.01,28.0,18.0,58.8235294117647
0.015,28.0,18.0,64.70588235294117
0.02,28.0,18.0,64.70588235294117
0.005,28.0,19.0,11.764705882352942
0.01,28.0,19.0,52.94117647058823
0.015,28.0,19.0,76.47058823529412
0.02,28.0,19.0,70.58823529411765
0.005,28.0,20.0,11.764705882352942
0.01,28.0,20.0,58.8235294117647
0.015,28.0,20.0,70.58823529411765
0.02,28.0,20.0,70.58823529411765
0.005,32.0,4.0,17.647058823529413
0.01,32.0,4.0,58.8235294117647
0.015,32.0,4.0,52.94117647058823
0.02,32.0,4.0,47.05882352941177
0.005,32.0,5.0,23.529411764705884
0.01,32.0,5.0,52.94117647058823
0.015,32.0,5.0,52.94117647058823
0.02,32.0,5.0,52.94117647058823
0.005,32.0,6.0,23.529411764705884
0.01,32.0,6.0,52.94117647058823
0.015,32.0,6.0,58.8235294117647
0.02,32.0,6.0,52.94117647058823
0.005,32.0,7.0,11.764705882352942
0.01,32.0,7.0,58.8235294117647
0.015,32.0,7.0,64.70588235294117
0.02,32.0,7.0,47.05882352941177
0.005,32.0,8.0,17.647058823529413
0.01,32.0,8.0,52.94117647058823
0.015,32.0,8.0,58.8235294117647
0.02,32.0,8.0,52.94117647058823
0.005,32.0,9.0,17.647058823529413
0.01,32.0,9.0,52.94117647058823
0.015,32.0,9.0,64.70588235294117
0.02,32.0,9.0,58.8235294117647
0.005,32.0,10.0,17.647058823529413
0.01,32.0,10.0,52.94117647058823
0.015,32.0,10.0,64.70588235294117
0.02,32.0,10.0,64.70588235294117
0.005,32.0,11.0,23.529411764705884
0.01,32.0,11.0,41.1764705882353
0.015,32.0,11.0,64.70588235294117
0.02,32.0,11.0,64.70588235294117
0.005,32.0,12.0,11.764705882352942
0.01,32.0,12.0,35.294117647058826
0.015,32.0,12.0,64.70588235294117
0.02,32.0,12.0,64.70588235294117
0.005,32.0,13.0,11.764705882352942
0.01,32.0,13.0,35.294117647058826
0.015,32.0,13.0,64.70588235294117
0.02,32.0,13.0,64.70588235294117
0.005,32.0,14.0,11.764705882352942
0.01,32.0,14.0,47.05882352941177
0.015,32.0,14.0,64.70588235294117
0.02,32.0,14.0,64.70588235294117
0.005,32.0,15.0,11.764705882352942
0.01,32.0,15.0,41.1764705882353
0.015,32.0,15.0,64.70588235294117
0.02,32.0,15.0,64.70588235294117
0.005,32.0,16.0,17.647058823529413
0.01,32.0,16.0,52.94117647058823
0.015,32.0,16.0,64.70588235294117
0.02,32.0,16.0,70.58823529411765
0.005,32.0,17.0,17.647058823529413
0.01,32.0,17.0,58.8235294117647
0.015,32.0,17.0,70.58823529411765
0.02,32.0,17.0,58.8235294117647
0.005,32.0,18.0,17.647058823529413
0.01,32.0,18.0,58.8235294117647
0.015,32.0,18.0,58.8235294117647
0.02,32.0,18.0,58.8235294117647
0.005,32.0,19.0,11.764705882352942
0.01,32.0,19.0,58.8235294117647
0.015,32.0,19.0,64.70588235294117
0.02,32.0,19.0,64.70588235294117
0.005,32.0,20.0,11.764705882352942
0.01,32.0,20.0,64.70588235294117
0.015,32.0,20.0,70.58823529411765
0.02,32.0,20.0,64.70588235294117
0.005,36.0,4.0,35.294117647058826
0.01,36.0,4.0,58.8235294117647
0.015,36.0,4.0,58.8235294117647
0.02,36.0,4.0,52.94117647058823
0.005,36.0,5.0,23.529411764705884
0.01,36.0,5.0,58.8235294117647
0.015,36.0,5.0,52.94117647058823
0.02,36.0,5.0,52.94117647058823
0.005,36.0,6.0,17.647058823529413
0.01,36.0,6.0,52.94117647058823
0.015,36.0,6.0,52.94117647058823
0.02,36.0,6.0,58.8235294117647
0.005,36.0,7.0,11.764705882352942
0.01,36.0,7.0,52.94117647058823
0.015,36.0,7.0,58.8235294117647
0.02,36.0,7.0,47.05882352941177
0.005,36.0,8.0,17.647058823529413
0.01,36.0,8.0,47.05882352941177
0.015,36.0,8.0,58.8235294117647
0.02,36.0,8.0,47.05882352941177
0.005,36.0,9.0,17.647058823529413
0.01,36.0,9.0,52.94117647058823
0.015,36.0,9.0,58.8235294117647
0.02,36.0,9.0,52.94117647058823
0.005,36.0,10.0,17.647058823529413
0.01,36.0,10.0,52.94117647058823
0.015,36.0,10.0,64.70588235294117
0.02,36.0,10.0,64.70588235294117
0.005,36.0,11.0,23.529411764705884
0.01,36.0,11.0,58.8235294117647
