k,points,radius,akurasi
0.005,44.0,6.0,0.0
0.01,44.0,6.0,22.5
0.015,44.0,6.0,40.0
0.02,44.0,6.0,20.0
0.005,44.0,7.0,0.0
0.01,44.0,7.0,32.5
0.015,44.0,7.0,65.0
0.02,44.0,7.0,30.0
0.005,44.0,8.0,0.0
0.01,44.0,8.0,17.5
0.015,44.0,8.0,57.5
0.02,44.0,8.0,32.5
0.005,44.0,9.0,0.0
0.01,44.0,9.0,30.0
0.015,44.0,9.0,55.0
0.02,44.0,9.0,37.5
0.005,44.0,10.0,0.0
0.01,44.0,10.0,22.5
0.015,44.0,10.0,52.5
0.02,44.0,10.0,40.0
0.005,44.0,11.0,2.5
0.01,44.0,11.0,20.0
0.015,44.0,11.0,62.5
0.02,44.0,11.0,47.5
0.005,44.0,12.0,0.0
0.01,44.0,12.0,27.5
0.015,44.0,12.0,65.0
0.02,44.0,12.0,52.5
0.005,44.0,13.0,0.0
0.01,44.0,13.0,25.0
0.015,44.0,13.0,62.5
0.02,44.0,13.0,67.5
0.005,44.0,14.0,0.0
0.01,44.0,14.0,17.5
0.015,44.0,14.0,70.0
0.02,44.0,14.0,72.5
0.005,44.0,15.0,0.0
0.01,44.0,15.0,12.5
0.015,44.0,15.0,60.0
0.02,44.0,15.0,65.0
0.005,44.0,16.0,0.0
0.01,44.0,16.0,12.5
0.015,44.0,16.0,62.5
0.02,44.0,16.0,75.0
0.005,44.0,17.0,0.0
0.01,44.0,17.0,12.5
0.015,44.0,17.0,57.5
0.02,44.0,17.0,70.0
0.005,44.0,18.0,0.0
0.01,44.0,18.0,12.5
0.015,44.0,18.0,52.5
0.02,44.0,18.0,60.0
0.005,44.0,19.0,0.0
0.01,44.0,19.0,20.0
0.015,44.0,19.0,50.0
0.02,44.0,19.0,62.5
0.005,44.0,20.0,0.0
0.01,44.0,20.0,12.5
0.015,44.0,20.0,55.0
0.02,44.0,20.0,62.5
0.005,48.0,4.0,0.0
0.01,48.0,4.0,30.0
0.015,48.0,4.0,22.5
0.02,48.0,4.0,15.0
0.005,48.0,5.0,0.0
0.01,48.0,5.0,35.0
0.015,48.0,5.0,40.0
0.02,48.0,5.0,10.0
0.005,48.0,6.0,0.0
0.01,48.0,6.0,27.5
0.015,48.0,6.0,40.0
0.02,48.0,6.0,20.0
0.005,48.0,7.0,0.0
0.01,48.0,7.0,32.5
0.015,48.0,7.0,52.5
0.02,48.0,7.0,27.5
0.005,48.0,8.0,0.0
0.01,48.0,8.0,20.0
0.015,48.0,8.0,55.0
0.02,48.0,8.0,30.0
0.005,48.0,9.0,0.0
0.01,48.0,9.0,22.5
0.015,48.0,9.0,55.0
0.02,48.0,9.0,30.0
0.005,48.0,10.0,0.0
0.01,48.0,10.0,27.5
0.015,48.0,10.0,57.5
0.02,48.0,10.0,37.5
0.005,48.0,11.0,0.0
0.01,48.0,11.0,25.0
0.015,48.0,11.0,67.5
0.02,48.0,11.0,40.0
0.005,48.0,12.0,0.0
0.01,48.0,12.0,27.5
0.015,48.0,12.0,62.5
0.02,48.0,12.0,45.0
0.005,48.0,13.0,0.0
0.01,48.0,13.0,27.5
0.015,48.0,13.0,57.5
0.02,48.0,13.0,52.5
0.005,48.0,14.0,0.0
0.01,48.0,14.0,25.0
0.015,48.0,14.0,70.0
0.02,48.0,14.0,57.5
0.005,48.0,15.0,0.0
0.01,48.0,15.0,17.5
0.015,48.0,15.0,65.0
0.02,48.0,15.0,60.0
0.005,48.0,16.0,0.0
0.01,48.0,16.0,25.0
0.015,48.0,16.0,62.5
0.02,48.0,16.0,75.0
0.005,48.0,17.0,0.0
0.01,48.0,17.0,20.0
0.015,48.0,17.0,57.5
0.02,48.0,17.0,75.0
0.005,48.0,18.0,0.0
0.01,48.0,18.0,22.5
0.015,48.0,18.0,57.5
0.02,48.0,18.0,57.5
0.005,48.0,19.0,0.0
0.01,48.0,19.0,15.0
0.015,48.0,19.0,52.5
0.02,48.0,19.0,62.5
0.005,48.0,20.0,0.0
0.01,48.0,20.0,15.0
0.015,48.0,20.0,52.5
0.02,48.0,20.0,60.0
0.005,52.0,4.0,0.0
0.01,52.0,4.0,35.0
0.015,52.0,4.0,27.5
0.02,52.0,4.0,10.0
0.005,52.0,5.0,0.0
0.01,52.0,5.0,27.5
0.015,52.0,5.0,32.5
0.02,52.0,5.0,7.5
0.005,52.0,6.0,0.0
0.01,52.0,6.0,27.5
0.015,52.0,6.0,42.5
0.02,52.0,6.0,17.5
0.005,52.0,7.0,0.0
0.01,52.0,7.0,35.0
0.015,52.0,7.0,42.5
0.02,52.0,7.0,27.5
0.005,52.0,8.0,0.0
0.01,52.0,8.0,22.5
0.015,52.0,8.0,57.5
0.02,52.0,8.0,27.5
0.005,52.0,9.0,0.0
0.01,52.0,9.0,22.5
0.015,52.0,9.0,42.5
0.02,52.0,9.0,27.5
0.005,52.0,10.0,0.0
0.01,52.0,10.0,20.0
0.015,52.0,10.0,57.5
0.02,52.0,10.0,32.5
0.005,52.0,11.0,0.0
0.01,52.0,11.0,35.0
0.015,52.0,11.0,57.5
0.02,52.0,11.0,40.0
